ID,CATEGORY_ID,NAME,LABEL,NOTES,GROUP_BY
1,,administrator,Administrator,Administrator,people
2,,learner,Mahasiswa,Mahasiswa,people
3,,lecturer,Dosen,Dosen,people
11,,category-semester-create,category-semester-create,Kategori Semester - Buat,permissions
12,,category-semester-read,category-semester-read,Kategori Semester - Baca,permissions
13,,category-semester-update,category-semester-update,Kategori Semester - Ubah,permissions
14,,category-semester-delete,category-semester-delete,Kategori Semester - Hapus,permissions
15,,category-class-create,category-class-create,Kategori Kelas - Buat,permissions
16,,category-class-read,category-class-read,Kategori Kelas - Baca,permissions
17,,category-class-update,category-class-update,Kategori Kelas - Ubah,permissions
18,,category-class-delete,category-class-delete,Kategori Kelas - Hapus,permissions
201,,course-master-create,course-master-create,Master Mata Kuliah - Buat,permissions
202,,course-master-read,course-master-read,Master Mata Kuliah - Baca,permissions
203,,course-master-update,course-master-update,Master Mata Kuliah - Ubah,permissions
204,,course-master-delete,course-master-delete,Master Mata Kuliah - Hapus,permissions
205,,course-create,course-create,Mata Kuliah - Buat,permissions
206,,course-read,course-read,Mata Kuliah - Baca,permissions
207,,course-update,course-update,Mata Kuliah - Ubah,permissions
208,,course-delete,course-delete,Mata Kuliah - Hapus,permissions
209,,learner-create,learner-create,Mahasiswa - Buat,permissions
210,,learner-read,learner-read,Mahasiswa - Baca,permissions
211,,learner-update,learner-update,Mahasiswa - Ubah,permissions
212,,learner-delete,learner-delete,Mahasiswa - Hapus,permissions
213,,lecturer-create,lecturer-create,Dosen - Buat,permissions
214,,lecturer-read,lecturer-read,Dosen - Baca,permissions
215,,lecturer-update,lecturer-update,Dosen - Ubah,permissions
216,,lecturer-delete,lecturer-delete,Dosen - Hapus,permissions
217,,access-right-create,access-right-create,Hak Akses - Buat,permissions
218,,access-right-read,access-right-read,Hak Akses - Baca,permissions
219,,access-right-update,access-right-update,Hak Akses - Ubah,permissions
220,,access-right-delete,access-right-delete,Hak Akses - Hapus,permissions
400,,administrator,Administrator,Administrator,permission_groups
401,,lecturer,Dosen,Dosen,permission_groups
402,,learner,Mahasiswa,Mahasiswa,permission_groups
3000,,__delimiter__1,__delimiter__,__delimiter__,__delimiter__1
3001,,20212022-awal,2021/2022 Awal,2021/2022 Awal,semester
3002,,20212022-akhir,2021/2022 Akhir,2021/2022 Akhir,semester
4000,,__delimiter__2,__delimiter__,__delimiter__,__delimiter__2
